,V9,V10,V11,V14,V15,V17,V19,V20,V21,V27,V28,V29,V30,V31,V32,V33,Class
679,0.19704433497536947,0.412037037037037,0.23104056437389797,0.0,0.06069131832797428,0.34486235756781286,0.638392857142857,0.38934426229508196,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1120,0.5862068965517242,0.4907407407407407,0.24162257495590822,0.23076923076923078,0.27552250803858525,0.840778461228194,0.31006493506493504,0.6886296763345944,1.0,0.43575482406356414,0.0,0.0,0.0,0.0,0.0,1.0,0
792,0.5467980295566502,0.48611111111111105,0.23104056437389797,0.038461538461538464,0.8820337620578779,0.8319048099223556,0.9999999999999999,1.0,0.0,0.023836549375709448,0.0,0.0,0.0,1.0,0.0,0.0,0
1650,0.47783251231527096,0.4027777777777778,0.23456790123456805,0.34615384615384615,0.4861334405144695,0.5346374911767672,0.6310876623376622,1.0,1.0,0.08796821793416573,0.0,0.0,0.0,0.0,0.0,0.0,1
152,0.47783251231527096,0.4907407407407407,0.23104056437389797,0.11538461538461542,0.028135048231511257,0.3407280427548654,0.33664772727272724,1.0,1.0,0.30556186152099885,1.0,0.0,0.0,0.0,0.0,0.0,0
587,0.5566502463054187,0.4537037037037037,0.23104056437389797,0.0,0.14499598070739553,0.8821216093576686,0.2418831168831169,0.4425178646490121,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1039,0.4187192118226601,0.37962962962962965,0.8271604938271606,0.23076923076923078,0.8945940514469454,0.873953816678431,0.8872767857142856,1.0,0.0,0.04903518728717368,0.0,0.0,0.0,0.0,0.0,1.0,0
1055,0.541871921182266,0.43981481481481477,0.7037037037037037,0.11538461538461542,0.39298633440514474,0.8448119390944842,0.6829342532467532,1.0,1.0,0.1566401816118048,0.0,0.0,0.0,0.0,0.0,1.0,0
1938,0.5911330049261084,0.47685185185185186,0.23456790123456805,0.0,0.21422829581993572,0.5131592215387718,0.7209821428571428,0.6656158049600672,0.0,0.6684449489216799,0.0,0.0,0.0,0.0,0.0,0.0,1
1158,0.27586206896551724,0.4212962962962963,0.8201058201058204,0.15384615384615385,0.11284163987138264,0.8424926893213673,0.7233157467532466,1.0,0.0,0.9737797956867196,0.0,0.0,0.0,0.0,0.0,1.0,0
850,0.4975369458128079,0.4444444444444444,0.24162257495590822,0.23076923076923078,0.9179059485530547,0.10366038116365837,0.1401176948051948,0.9746742328709541,1.0,0.9376844494892169,0.0,0.0,0.0,0.0,1.0,0.0,0
732,0.17733990147783252,0.375,0.7742504409171076,0.0,0.2774316720257235,0.9266915397801755,0.24096996753246755,0.48434216057166873,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
157,0.4975369458128079,0.5509259259259259,0.23104056437389797,0.11538461538461542,0.02512057877813505,0.4238176868004437,0.49269480519480513,1.0,1.0,0.22780930760499432,1.0,0.0,0.0,0.0,0.0,0.0,0
521,0.22660098522167488,0.41666666666666663,0.30511463844797193,0.0,0.05596864951768489,0.39639003730967026,0.7437094155844155,0.5089323245060949,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1141,0.4285714285714286,0.4444444444444444,0.8201058201058204,0.15384615384615385,0.1401728295819936,0.9327417565796108,0.880681818181818,0.9299075241698193,0.0,0.26322360953461976,0.0,0.0,0.0,0.0,0.0,1.0,0
1605,0.35467980295566504,0.40740740740740744,0.8112874779541448,0.15384615384615385,0.6349477491961415,0.6699606735908036,0.5294237012987012,0.9811895754518705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1399,0.6009852216748769,0.48611111111111105,0.7054673721340388,0.0,0.9300643086816721,0.6605828375516789,0.2674512987012987,0.49337957124842374,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
163,0.5369458128078818,0.47685185185185186,0.22398589065255736,0.11538461538461542,0.21523311897106112,0.8559040032267823,0.695616883116883,0.7898276586801177,0.0,0.19421112372304203,0.0,1.0,0.0,0.0,0.0,0.0,0
392,0.11822660098522167,0.5138888888888888,0.30511463844797193,0.0,0.0,0.9079358677019259,0.21377840909090906,0.319567044976881,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1770,0.5812807881773399,0.47685185185185186,0.24162257495590822,0.038461538461538464,0.7101085209003216,0.8624584047595039,0.7886566558441557,0.8738965952080706,1.0,0.6412031782065833,0.0,0.0,0.0,0.0,0.0,0.0,1
1207,0.4433497536945813,0.4027777777777778,0.24162257495590822,0.15384615384615385,0.411073151125402,0.7627306645154786,0.7040381493506493,0.8599201345102985,0.0,0.2824063564131669,0.0,0.0,0.0,0.0,0.0,1.0,0
502,0.2019704433497537,0.4814814814814815,0.30511463844797193,0.0,0.05596864951768489,0.9479681355248564,0.2130681818181818,0.37557797393862963,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1739,0.3103448275862069,0.2685185185185185,0.7530864197530867,0.23076923076923078,0.09354903536977492,0.7310678632651003,0.5727475649350648,1.0,1.0,0.18955732122587968,0.0,0.0,0.0,0.0,0.0,0.0,1
761,0.5270935960591133,0.412037037037037,0.23104056437389797,0.038461538461538464,0.47055868167202575,0.5966522133709791,0.9999999999999999,0.7372845733501472,0.0,0.010669693530079433,0.0,0.0,0.0,1.0,0.0,0.0,0
1673,0.5221674876847291,0.40740740740740744,0.22222222222222232,0.11538461538461542,0.7441720257234727,0.06917414540687708,0.3024553571428571,1.0,1.0,0.4753688989784336,0.0,0.0,0.0,0.0,0.0,0.0,1
33,0.3448275862068966,0.34259259259259256,0.2821869488536155,0.038461538461538464,0.07104099678456592,0.35171926994050623,0.9999999999999999,1.0,1.0,0.3904653802497162,1.0,0.0,0.0,0.0,0.0,0.0,0
817,0.4236453201970443,0.40740740740740744,0.8112874779541448,0.038461538461538464,0.9863344051446946,0.0551578098215186,0.08948863636363635,1.0,1.0,0.9903518728717366,0.0,0.0,0.0,0.0,1.0,0.0,0
735,0.19704433497536947,0.4537037037037037,0.7742504409171076,0.0,0.29310691318327975,0.8998689119693455,0.26430600649350644,0.5190205968894493,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
958,0.4433497536945813,0.41666666666666663,0.8165784832451499,0.11538461538461542,0.9025321543408361,0.8879701522637895,0.8985389610389609,1.0,0.0,0.06617480136208856,0.0,0.0,0.0,0.0,0.0,1.0,0
1302,0.4433497536945813,0.4444444444444444,0.8112874779541448,0.6153846153846154,0.0,0.3697690833921549,0.661830357142857,1.0,1.0,0.583427922814983,0.0,0.0,0.0,0.0,0.0,0.0,1
1685,0.458128078817734,0.37962962962962965,0.23456790123456805,0.6153846153846154,0.07536173633440514,0.24372290007058586,0.27364042207792205,0.8629676334594368,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
599,0.17733990147783252,0.40740740740740744,0.23104056437389797,0.0,0.06069131832797428,0.37329837652515885,0.640827922077922,0.4004833963850357,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1065,0.5024630541871922,0.5231481481481481,0.8271604938271606,0.17307692307692307,0.9882435691318329,0.747907633356862,0.8155438311688311,1.0,1.0,0.10896708286038592,0.0,0.0,0.0,0.0,0.0,1.0,0
237,0.39901477832512317,0.33333333333333337,0.22398589065255736,0.11538461538461542,0.11133440514469453,0.49581526671372395,0.5772118506493507,1.0,1.0,0.09648127128263334,0.0,1.0,0.0,0.0,0.0,0.0,0
906,0.46798029556650245,0.4537037037037037,0.8201058201058204,0.07692307692307693,0.1579581993569132,0.6399112634869416,0.7463474025974025,1.0,1.0,0.1326901248581158,0.0,0.0,0.0,0.0,0.0,1.0,0
1137,0.39901477832512317,0.40740740740740744,0.1393298059964727,0.0,0.0292403536977492,0.5966522133709791,0.6376826298701298,1.0,1.0,0.14517593643586832,0.0,0.0,0.0,0.0,0.0,1.0,0
645,0.21674876847290642,0.4027777777777778,0.2275132275132279,0.0,0.057777331189710616,0.37188665927195724,0.6554383116883116,0.5039932744850778,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
95,0.4482758620689655,0.412037037037037,0.23104056437389797,0.0,0.8242564308681672,0.44368256529192296,0.4564732142857142,1.0,1.0,0.57105561861521,1.0,0.0,0.0,0.0,0.0,0.0,0
934,0.4876847290640394,0.4444444444444444,0.8165784832451499,0.07692307692307693,0.6432877813504824,0.5293939699505898,0.880681818181818,1.0,0.0,0.12463110102156641,0.0,0.0,0.0,0.0,0.0,1.0,0
1718,0.5073891625615764,0.412037037037037,0.2821869488536155,0.0,0.013062700964630225,0.8109307250176465,0.8872767857142856,0.632198402690206,0.0,0.2598183881952326,0.0,0.0,0.0,0.0,0.0,0.0,1
1700,0.4236453201970443,0.3379629629629629,0.29100529100529116,0.6923076923076924,0.7868770096463024,0.1904809922355551,0.1565543831168831,0.9308532997057588,1.0,0.9888762769580022,0.0,0.0,0.0,0.0,0.0,0.0,1
1929,0.5812807881773399,0.47685185185185186,0.23456790123456805,0.0,0.19212218649517687,0.7369164061712211,0.481939935064935,0.9415720891130728,0.0,0.5956867196367764,0.0,0.0,0.0,0.0,0.0,0.0,1
223,0.4236453201970443,0.3657407407407407,0.2275132275132279,0.11538461538461542,0.09043408360128617,0.4813955833417365,0.35237418831168826,0.8686422866750736,1.0,0.8587968217934167,0.0,1.0,0.0,0.0,0.0,0.0,0
78,0.31527093596059114,0.47685185185185186,0.30511463844797193,0.0,0.1779541800643087,0.04900675607542603,0.08380681818181818,0.9852879361076081,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1660,0.33004926108374383,0.40740740740740744,0.2275132275132279,0.0,0.013364147909967846,0.8559040032267823,0.8209212662337662,1.0,0.0,0.19421112372304203,0.0,0.0,0.0,0.0,0.0,0.0,1
1377,0.3842364532019705,0.4814814814814815,0.23456790123456805,0.23076923076923078,0.582194533762058,0.04487244126247857,0.9571834415584415,0.13902900378310212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
517,0.21182266009852216,0.4537037037037037,0.30511463844797193,0.0,0.05596864951768489,0.49581526671372395,0.6157670454545453,0.5259562841530055,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
462,0.14285714285714285,0.4907407407407407,0.30511463844797193,0.0,0.05596864951768489,0.8201068871634567,0.2075892857142857,0.40762925598991173,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1353,0.5812807881773399,0.4814814814814815,0.23104056437389797,0.038461538461538464,0.4232315112540193,0.7759403045275789,0.9999999999999999,1.0,0.0,0.0564131668558456,0.0,0.0,0.0,0.0,0.0,0.0,1
1522,0.30049261083743845,0.38888888888888884,0.22222222222222232,0.11538461538461542,0.0,0.07855198144600183,0.6195211038961038,1.0,1.0,0.4093076049943247,0.0,0.0,0.0,0.0,0.0,0.0,1
911,0.4482758620689655,0.43981481481481477,0.8201058201058204,0.07692307692307693,0.6615755627009646,0.2941413733992135,0.3824066558441558,0.966057166876839,1.0,0.3717366628830874,0.0,0.0,0.0,0.0,0.0,1.0,0
805,0.5911330049261084,0.4814814814814815,0.23104056437389797,0.038461538461538464,0.11394694533762059,1.0,0.8872767857142856,1.0,0.5,0.05743473325766174,0.0,0.0,0.0,1.0,0.0,0.0,0
216,0.43842364532019706,0.43981481481481477,0.22398589065255736,0.11538461538461542,0.213725884244373,0.22889986891196937,0.22412743506493507,0.8994325346784363,1.0,0.9998864926220203,0.0,1.0,0.0,0.0,0.0,0.0,0
393,0.10344827586206896,0.5138888888888888,0.308641975308642,0.0,0.0043207395498392285,0.9220530402339416,0.1815137987012987,0.3064312736443884,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1420,0.2660098522167488,0.375,0.22222222222222232,0.038461538461538464,0.827371382636656,1.0,0.8067167207792206,0.9415720891130728,0.5,0.40737797956867194,0.0,0.0,0.0,0.0,0.0,0.0,1
597,0.22167487684729065,0.40740740740740744,0.23104056437389797,0.0,0.06069131832797428,0.36755067056569535,0.6398133116883117,0.3818831441782261,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1663,0.30049261083743845,0.2638888888888889,0.23809523809523814,0.6153846153846154,0.9339831189710611,0.3019058182918221,0.609780844155844,1.0,1.0,0.2598183881952326,0.0,0.0,0.0,0.0,0.0,0.0,1
376,0.7832512315270936,0.6666666666666666,0.2821869488536155,0.0,0.6447950160771705,0.5415952404961177,0.661830357142857,1.0,1.0,0.059591373439273565,0.0,0.0,1.0,0.0,0.0,0.0,0
208,0.4729064039408867,0.40740740740740744,0.22045855379188728,0.11538461538461542,0.2586414790996785,0.38711303821720283,0.18628246753246752,0.9061580496006725,1.0,0.9905788876276957,0.0,1.0,0.0,0.0,0.0,0.0,0
1527,0.3448275862068966,0.2685185185185185,0.8606701940035273,0.038461538461538464,0.0023110932475884243,0.5293939699505898,0.8872767857142856,1.0,1.0,0.12463110102156641,0.0,0.0,0.0,0.0,0.0,0.0,1
1356,0.5270935960591133,0.412037037037037,0.22222222222222232,0.11538461538461542,0.6669011254019293,0.13673489966723806,0.8952922077922078,0.19640605296343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
491,0.1625615763546798,0.4814814814814815,0.308641975308642,0.0,0.05878215434083602,0.5473429464555813,0.6032873376623376,0.4827658680117696,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1019,0.4729064039408867,0.4212962962962963,0.7530864197530867,0.15384615384615385,0.20046221864951771,0.8448119390944842,0.9999999999999999,1.0,1.0,0.1566401816118048,0.0,0.0,0.0,0.0,0.0,1.0,0
352,0.3793103448275862,0.8518518518518519,0.2821869488536155,0.0,0.7881832797427654,0.265100332761924,0.2752637987012987,0.9824506094997898,1.0,0.984449489216799,0.0,0.0,1.0,0.0,0.0,0.0,0
1780,0.5615763546798029,0.47685185185185186,0.22398589065255736,0.0,0.20779742765273315,0.5918120399314308,0.45363230519480513,0.4020596889449348,0.0,0.9922814982973893,0.0,0.0,0.0,0.0,0.0,0.0,1
1479,0.4039408866995074,0.30092592592592593,0.8201058201058204,1.0,0.15564710610932478,0.37944943027125144,0.401176948051948,0.9685792349726776,1.0,0.9997729852440409,0.0,0.0,0.0,0.0,0.0,0.0,1
1048,0.4482758620689655,0.37962962962962965,0.7037037037037037,0.11538461538461542,0.9257435691318329,0.8879701522637895,0.8872767857142856,1.0,1.0,0.06617480136208856,0.0,0.0,0.0,0.0,0.0,1.0,0
1194,0.5172413793103449,0.43981481481481477,0.1710758377425048,0.0,0.8166197749196141,0.7983261066854896,0.797077922077922,1.0,1.0,0.07514188422247448,0.0,0.0,0.0,0.0,0.0,1.0,0
1749,0.5123152709359606,0.41666666666666663,0.2821869488536155,0.0,0.8766077170418006,0.9628920036301301,0.5923295454545453,0.64291719209752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1604,0.33004926108374383,0.4444444444444444,0.7054673721340388,0.0,0.4014268488745981,0.9369769083392154,0.880681818181818,1.0,1.0,0.3163450624290579,0.0,0.0,0.0,0.0,0.0,0.0,1
775,0.5960591133004927,0.47685185185185186,0.23104056437389797,0.038461538461538464,0.47508038585209006,0.6218614500352929,0.661830357142857,1.0,0.0,0.03325766174801362,0.0,0.0,0.0,1.0,0.0,0.0,0
1082,0.27586206896551724,0.4027777777777778,0.7777777777777777,0.0,0.5975683279742766,0.5705354441867501,0.4548498376623376,0.8949138293400589,1.0,0.9998864926220203,0.0,0.0,0.0,0.0,0.0,1.0,0
1347,0.3891625615763547,0.4027777777777778,0.8306878306878307,0.07692307692307693,0.1609726688102894,0.4238176868004437,0.49269480519480513,1.0,1.0,0.7903518728717367,0.0,0.0,0.0,0.0,0.0,0.0,1
1352,0.4975369458128079,0.4537037037037037,0.23104056437389797,0.0,0.3196342443729904,0.4690934758495513,0.9062499999999999,0.8009667927700714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1785,0.5517241379310345,0.4537037037037037,0.2275132275132279,0.0,0.12007636655948553,0.9469597660582838,0.31747159090909083,0.5731399747793191,1.0,0.5072644721906924,0.0,0.0,0.0,0.0,0.0,0.0,1
646,0.21182266009852216,0.40740740740740744,0.2275132275132279,0.0,0.06079180064308682,0.38902894020369067,0.6412337662337662,0.4631147540983606,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
822,0.541871921182266,0.43981481481481477,0.22398589065255736,0.0,0.03265675241157556,0.10124029444388426,0.23904220779220778,0.9776166456494326,1.0,0.298410896708286,0.0,0.0,0.0,0.0,1.0,0.0,0
19,0.4729064039408867,0.4814814814814815,0.8112874779541448,0.6153846153846154,0.08812299035369775,0.43974992437229005,0.797077922077922,1.0,1.0,0.4735527809307605,1.0,0.0,0.0,0.0,0.0,0.0,0
1124,0.4482758620689655,0.44907407407407407,0.23456790123456805,0.0,0.818629421221865,0.7034385398810123,0.8550121753246752,0.9415720891130728,1.0,0.25300794551645855,0.0,0.0,0.0,0.0,0.0,1.0,0
584,0.21674876847290642,0.41666666666666663,0.2275132275132279,0.0,0.057777331189710616,0.3862055056972875,0.7669439935064934,0.5150273224043715,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
676,0.5665024630541872,0.4537037037037037,0.23104056437389797,0.0,0.1924236334405145,0.9349601694060704,0.3104707792207792,0.5942622950819673,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
696,0.20689655172413793,0.4027777777777778,0.23104056437389797,0.0,0.06069131832797428,0.39497832005646877,0.5733563311688311,0.4237074401008827,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1096,0.37438423645320196,0.43981481481481477,0.24162257495590822,0.0,0.5333601286173635,0.4515478471311889,0.523741883116883,0.96437578814628,1.0,0.9995459704880818,0.0,0.0,0.0,0.0,0.0,1.0,0
993,0.5566502463054187,0.47685185185185186,0.746031746031746,0.11153846153846153,0.333701768488746,0.6078451144499344,0.5225243506493505,0.6716057166876839,0.0,0.24279228149829737,0.0,0.0,0.0,0.0,0.0,1.0,0
303,0.4433497536945813,0.3287037037037037,0.2275132275132279,0.11538461538461542,0.01034967845659164,0.747907633356862,0.6262175324675324,0.9382093316519546,1.0,0.23280363223609532,0.0,1.0,0.0,0.0,0.0,0.0,0
928,0.4975369458128079,0.4351851851851851,0.8059964726631392,0.07692307692307693,0.1539389067524116,0.908339215488555,0.7825689935064933,1.0,0.0,0.111577752553916,0.0,0.0,0.0,0.0,0.0,1.0,0
127,0.3793103448275862,0.41666666666666663,0.8306878306878307,0.1923076923076923,0.011856913183279744,0.3697690833921549,0.4202516233766233,1.0,1.0,0.583427922814983,1.0,0.0,0.0,0.0,0.0,0.0,0
721,0.3497536945812808,0.41666666666666663,0.23456790123456805,0.0,0.12851688102893893,0.414439850761319,0.6051136363636364,0.5563261874737284,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
409,0.11822660098522167,0.5138888888888888,0.31216931216931254,0.0,0.058681672025723476,0.8799031965312091,0.21946022727272724,0.3601303068516183,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
807,0.5714285714285714,0.44907407407407407,0.23456790123456805,0.038461538461538464,0.44182073954983925,0.39497832005646877,0.9999999999999999,0.5496006725514923,0.0,0.03325766174801362,0.0,0.0,0.0,1.0,0.0,0.0,0
448,0.5862068965517242,0.4537037037037037,0.308641975308642,0.0,0.055868167202572344,0.9055157809821518,0.29839691558441556,0.4828709541824296,1.0,0.9827468785471056,0.0,0.0,1.0,0.0,0.0,0.0,0
981,0.5221674876847291,0.43981481481481477,0.2627865961199296,0.0,0.4644292604501608,0.81667843097711,0.7463474025974025,1.0,1.0,0.09772985244040863,0.0,0.0,0.0,0.0,0.0,1.0,0
1066,0.6403940886699507,0.5231481481481481,0.8306878306878307,0.17307692307692307,0.6603697749196142,0.46616920439649095,0.9435876623376622,1.0,0.0,0.14665153234960274,0.0,0.0,0.0,0.0,0.0,1.0,0
1722,0.5123152709359606,0.37962962962962965,0.2821869488536155,0.0,0.021704180064308683,1.0,0.7584212662337662,0.8832492643968054,0.5,0.3456299659477866,0.0,0.0,0.0,0.0,0.0,0.0,1
1209,0.4088669950738916,0.412037037037037,0.24162257495590822,0.15384615384615385,0.4139871382636656,0.8319048099223556,0.661830357142857,0.8764186633039092,0.0,0.3717366628830874,0.0,0.0,0.0,0.0,0.0,1.0,0
1913,0.5763546798029556,0.4907407407407407,0.24514991181657875,0.0,0.4016278135048232,0.39497832005646877,0.830864448051948,0.5329970575872215,0.0,0.33461975028376845,0.0,0.0,0.0,0.0,0.0,0.0,1
145,0.18226600985221675,0.4444444444444444,0.23456790123456805,0.0,0.6649919614147911,0.03680548552989815,0.0588474025974026,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1665,0.30049261083743845,0.4027777777777778,0.23456790123456805,0.6153846153846154,0.4846262057877814,0.5753756176262982,0.9999999999999999,1.0,0.0,0.2615209988649262,0.0,0.0,0.0,0.0,0.0,0.0,1
1533,0.35960591133004927,0.3287037037037037,0.8130511463844798,0.11538461538461542,0.026225884244372992,0.5396793385096299,0.5030438311688311,0.9561790668348047,1.0,0.9960272417707152,0.0,0.0,0.0,0.0,0.0,0.0,1
178,0.5221674876847291,0.44907407407407407,0.22398589065255736,0.11538461538461542,0.2582395498392283,0.5966522133709791,0.5193790584415584,0.5496006725514923,0.0,0.3163450624290579,0.0,1.0,0.0,0.0,0.0,0.0,0
642,0.21182266009852216,0.4027777777777778,0.23104056437389797,0.0,0.05767684887459808,0.4238176868004437,0.6195211038961038,0.5003152585119798,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1304,0.5960591133004927,0.4907407407407407,0.8112874779541448,0.6153846153846154,0.0024115755627009644,0.1468185943329636,0.32355925324675316,1.0,1.0,0.30556186152099885,0.0,0.0,0.0,0.0,0.0,0.0,1
1549,0.5615763546798029,0.4814814814814815,0.22398589065255736,0.0,0.21814710610932475,0.49581526671372395,0.609780844155844,1.0,1.0,0.13552780930760497,0.0,0.0,0.0,0.0,0.0,0.0,1
842,0.4827586206896552,0.4537037037037037,0.24162257495590822,0.23076923076923078,0.9208199356913184,0.09781183825753757,0.13463879870129872,1.0,1.0,0.9851305334846765,0.0,0.0,0.0,0.0,1.0,0.0,0
