,V1,V3,V5,V7,V9,V10,V11,V12,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,Class
22,63,115485,106,19,107,150,1687,0,200,0.0747,0.3801,0.4737,0.0053,0.9,1.0,1.0,2.0253,0.9542,1.2787,0.5263,0.0192,0.2942,1,0,0,0,0,0,1
23,82,149044,264,39,92,141,1687,0,200,0.0972,0.3231,0.2564,0.0059,0.6667,1.0,1.0,2.4216,1.0,1.5911,0.7436,-0.0479,0.6422,1,0,0,0,0,0,1
24,75,184350,201,35,123,148,1687,0,200,0.0889,0.3232,0.2727,0.0053,0.5294,0.9429,1.0,2.3032,0.9542,1.5185,0.7273,0.063,0.4913,1,0,0,0,0,0,1
25,1363,2128884,171,23,77,111,1373,0,40,0.0015,0.1739,0.3913,0.0066,1.0,1.0,1.0,2.233,0.9542,1.3617,0.6087,-0.2395,0.3464,1,0,0,0,0,0,1
26,1358,2356396,395,39,75,118,1373,0,40,0.0015,0.2766,0.359,0.0102,0.7368,1.0,1.0,2.5966,1.1461,1.5911,0.6409999999999999,-0.2341,0.8355,1,0,0,0,0,0,1
27,1404,5202306,85,18,97,119,1627,0,40,0.2668,0.213,0.3333,0.0037,0.6667,1.0,1.0,1.9294,0.7782,1.2553,0.6667,-0.1776,0.215,1,0,0,0,0,0,1
28,1281,4332564,3214,253,33,140,1373,0,40,0.1034,0.3902,0.0837,0.0153,0.2283,0.9921,1.0,3.5071,1.3222,2.3997,0.9163,-0.1045,1.0,1,0,0,0,0,0,1
29,49,4822354,386,38,51,124,1373,0,40,0.0714,0.2186,0.3421,0.0095,0.8667,1.0,1.0,2.5866,1.1139,1.5798,0.6579,-0.2537,0.7822,1,0,0,0,0,0,1
30,830,1874382,182,33,99,132,1373,0,40,0.7808,0.2121,0.2121,0.0051,0.7778,1.0,1.0,2.2601,0.8451,1.5185,0.7879,-0.1093,0.3834,1,0,0,0,0,0,1
31,91,2378173,527,63,47,125,1387,0,40,0.1312,0.3565,0.2063,0.0094,0.6842,1.0,1.0,2.7218,1.1139,1.7993,0.7936,-0.2767,0.9691,1,0,0,0,0,0,1
32,161,2891780,158,24,80,119,1387,0,40,0.2322,0.0595,0.2917,0.005,0.7778,1.0,1.0,2.1987,0.8451,1.3802,0.7083,-0.1752,0.2901,1,0,0,0,0,0,1
33,1328,2691161,214,28,70,111,1387,0,50,0.0707,0.2357,0.3571,0.0072,1.0,1.0,1.0,2.3304,1.0,1.4472,0.6429,-0.2785,0.46299999999999997,1,0,0,0,0,0,1
34,1251,3874199,994,62,15,119,1387,0,50,0.1629,0.3029,0.371,0.0166,0.7931,1.0,1.0,2.9974,1.3617,1.7924,0.629,-0.4588,0.9994,1,0,0,0,0,0,1
35,733,3957796,367,43,55,127,1387,0,50,0.9257,0.2888,0.2791,0.0087,0.75,1.0,1.0,2.5647,1.0792,1.6335,0.7209,-0.2367,0.8061,1,0,0,0,0,0,1
36,12,304433,320,39,55,125,1353,0,70,0.0177,0.3162,0.3077,0.0089,0.8,1.0,1.0,2.5052,1.0792,1.5911,0.6923,-0.2015,0.7512,1,0,0,0,0,0,1
37,162,505964,378,72,77,135,1353,0,70,0.2395,0.4676,0.1408,0.0074,0.2941,0.9861,1.0,2.5775,1.0,1.8513,0.8591,-0.1046,0.9381,1,0,0,0,0,0,1
38,0,1701480,210,48,73,100,1333,0,40,0.0,0.5625,0.2083,0.0075,0.2778,1.0,1.0,2.3222,1.0,1.6812,0.7917,-0.3522,0.7659,1,0,0,0,0,0,1
39,1617,183688,201,23,79,126,1633,0,250,0.0049,0.2717,0.5217,0.0074,0.5454,1.0,1.0,2.3032,1.0792,1.3617,0.4783,-0.184,0.4564,1,0,0,0,0,0,1
40,1152,284144,386,54,90,132,1687,0,200,0.6224,0.2852,0.1852,0.0059,0.2857,1.0,1.0,2.5866,1.0,1.7324,0.8148,-0.095,0.8299,1,0,0,0,0,0,1
41,1259,1918092,324,36,65,124,1353,0,70,0.1212,0.25,0.3333,0.0089,0.4,1.0,1.0,2.5106,1.0792,1.5563,0.6667,-0.2701,0.7037,1,0,0,0,0,0,1
42,1545,19815,234,26,66,124,1627,0,40,0.086,0.25,0.4615,0.0074,0.6,1.0,1.0,2.3692,1.0792,1.415,0.5385,-0.2252,0.5162,1,0,0,0,0,0,1
43,1580,3884411,340,50,88,116,1627,0,40,0.0455,0.32,0.2,0.0061,0.3333,1.0,1.0,2.5315,1.0,1.699,0.8,-0.2037,0.7889,1,0,0,0,0,0,1
44,450,1009978,98,21,96,132,1690,1,60,0.5325,0.4167,0.381,0.0047,0.5,1.0,1.0,1.9912,0.9031,1.3222,0.6191,-0.1403,0.2901,1,0,0,0,0,0,1
45,1625,1702442,267,49,67,110,1690,1,60,0.0663,0.3946,0.1837,0.0053,0.2093,1.0,1.0,2.4265,0.9542,1.6902,0.8163,-0.3333,0.7161,1,0,0,0,0,0,1
46,1495,3509718,56,13,85,116,1686,1,60,0.2183,0.3846,0.5385,0.0041,0.5833,1.0,1.0,1.7482,0.8451,1.1139,0.4615,-0.2206,0.1965,1,0,0,0,0,0,1
47,958,3550754,71,17,91,124,1682,1,60,0.8537,0.3039,0.3529,0.0036,0.5454,1.0,1.0,1.8513,0.7782,1.2305,0.6471,-0.1745,0.2083,1,0,0,0,0,0,1
48,1536,43036,90,12,67,100,1688,1,60,0.1659,0.375,1.0,0.0071,0.8571,1.0,0.5,1.9542,1.0792,1.0792,0.0,-0.3468,0.2583,1,0,0,0,0,0,1
49,780,1686880,55,11,95,125,1690,1,60,0.9231,0.2857,0.6364,0.0041,0.7778,1.0,1.0,1.7404,0.8451,1.0414,0.3636,-0.1301,0.1822,1,0,0,0,0,0,1
50,1140,2379116,58,13,100,132,1690,1,60,0.6426,0.3626,0.5385,0.0041,0.7778,1.0,1.0,1.7634,0.8451,1.1139,0.4615,-0.1154,0.1965,1,0,0,0,0,0,1
51,13,2512899,567,66,51,109,1690,1,60,0.0154,0.21899999999999997,0.1667,0.0065,0.23399999999999999,1.0,1.0,2.7536,1.0414,1.8195,0.8333,-0.3611,0.9440000000000001,1,0,0,0,0,0,1
52,11,2845229,182,27,72,109,1688,1,60,0.013000000000000001,0.251,0.3333,0.0053,0.45,1.0,1.0,2.2601,0.9542,1.4314,0.6667,-0.2987,0.4025,1,0,0,0,0,0,1
53,1589,3826564,154,24,69,108,1650,1,69,0.0618,0.3583,0.4167,0.0061,0.5,1.0,1.0,2.1875,1.0,1.3802,0.5833,-0.3061,0.3977,1,0,0,0,0,0,1
54,765,4157586,188,34,95,125,1648,1,69,0.9284,0.3856,0.2647,0.0055,0.45,1.0,1.0,2.2742,0.9542,1.5315,0.7353,-0.1469,0.5063,1,0,0,0,0,0,1
55,1268,5437033,146,27,88,126,1646,1,69,0.4484,0.3992,0.3333,0.0055,0.45,1.0,1.0,2.1644,0.9542,1.4314,0.6667,-0.1667,0.4025,1,0,0,0,0,0,1
56,333,5683008,51,7,120,149,1650,1,69,0.4036,0.3462,0.4615,0.0079,0.9286,0.8571,0.0,1.7076,1.1139,0.7782,-0.5385,0.0573,0.1832,1,0,0,0,0,0,1
57,1287,1005865,184,30,85,119,1650,1,100,0.4254,0.4889,0.4,0.0073,0.48,1.0,1.0,2.2648,1.0792,1.4771,0.6,-0.2106,0.5951,1,0,0,0,0,0,1
58,1088,1094617,67,12,94,132,1710,1,100,0.7181,0.3021,0.6667,0.0047,0.8,1.0,1.0,1.8261,0.9031,1.0792,0.3333,-0.1353,0.2018,1,0,0,0,0,0,1
59,1255,718602,64,15,99,123,1360,1,100,0.1456,0.2889,0.4,0.0044,0.6,1.0,1.0,1.8062,0.7782,1.1761,0.6,-0.1439,0.1954,1,0,0,0,0,0,1
60,707,807870,53,10,81,111,1360,1,100,0.95,0.2429,0.7,0.0052,0.7,1.0,1.0,1.7243,0.8451,1.0,0.3,-0.2572,0.1753,1,0,0,0,0,0,1
61,1186,238656,60,11,100,132,1362,1,120,0.2482,0.2208,0.6364,0.0051,0.7,1.0,1.0,1.7781,0.8451,1.0414,0.3636,-0.1064,0.1822,1,0,0,0,0,0,1
62,626,2071945,76,11,84,126,1362,1,120,0.9192,0.2323,0.8182,0.0066,0.6429,1.0,1.0,1.8808,0.9542,1.0414,0.1818,-0.1712,0.2051,1,0,0,0,0,0,1
63,1503,893849,66,12,87,118,1632,1,100,0.1495,0.2143,0.5833,0.0043,0.7778,1.0,1.0,1.8195,0.8451,1.0792,0.4167,-0.2158,0.1892,1,0,0,0,0,0,1
64,1152,969900,70,11,99,127,1632,1,100,0.5772,0.2929,0.8182,0.0055,1.0,1.0,1.0,1.8451,0.9542,1.0414,0.1818,-0.1243,0.2051,1,0,0,0,0,0,1
65,1533,1031539,382,60,77,118,1632,1,100,0.1103,0.2926,0.15,0.0055,0.2093,1.0,1.0,2.5821,0.9542,1.7781,0.85,-0.2186,0.8299,1,0,0,0,0,0,1
66,788,1060712,110,20,84,116,1630,1,100,0.9669,0.3125,0.4,0.0049,0.6154,1.0,1.0,2.0414,0.9031,1.301,0.6,-0.2098,0.2792,1,0,0,0,0,0,1
67,34,914648,51,13,95,116,1654,1,100,0.0411,0.3462,0.4615,0.0036,0.75,1.0,1.0,1.7076,0.7782,1.1139,0.5385,-0.1775,0.1832,1,0,0,0,0,0,1
68,1604,1194800,63,14,73,94,1656,1,100,0.0531,0.4375,0.5714,0.0048,0.5333,1.0,1.0,1.7993,0.9031,1.1461,0.4286,-0.3512,0.2195,1,0,0,0,0,0,1
69,1610,1944129,56,9,71,101,1656,1,100,0.0459,0.2222,0.8889,0.0048,0.6667,1.0,1.0,1.7482,0.9031,0.9542,0.1111,-0.3479,0.1773,1,0,0,0,0,0,1
70,1617,2095494,89,13,77,100,1658,1,100,0.0362,0.3776,0.8461,0.0066,0.7857,1.0,1.0,1.9494,1.0414,1.1139,0.1539,-0.315,0.257,1,0,0,0,0,0,1
71,1589,2493647,190,28,81,116,1648,1,100,0.0607,0.24600000000000002,0.3214,0.0055,0.4286,1.0,1.0,2.2787,0.9542,1.4472,0.6786,-0.2428,0.41700000000000004,1,0,0,0,0,0,1
72,482,11430396,81,20,99,119,1656,1,100,0.5821,0.4938,0.4,0.0048,0.5333,1.0,1.0,1.9085,0.9031,1.301,0.6,-0.16,0.2792,1,0,0,0,0,0,1
73,1067,237702,63,18,58,93,1694,1,211,0.7332,0.4167,0.3333,0.0035,0.3529,1.0,1.0,1.7993,0.7782,1.2553,0.6667,-0.4276,0.215,1,0,0,0,0,0,1
74,623,309514,60,12,62,92,1694,1,211,0.7355,0.375,0.6667,0.0047,0.8889,1.0,1.0,1.7781,0.9031,1.0792,0.3333,-0.40299999999999997,0.2018,1,0,0,0,0,0,1
75,446,200561,30,6,80,116,1692,1,143,0.5272,0.2857,0.8571,0.0041,0.875,1.0,0.0,1.4771,0.8451,0.7782,-0.1429,-0.213,0.1499,1,0,0,0,0,0,1
76,375,519677,209,31,90,143,1692,1,143,0.4433,0.2509,0.2903,0.0053,0.375,1.0,1.0,2.3201,0.9542,1.4914,0.7097,-0.1016,0.4613,1,0,0,0,0,0,1
77,125,1334420,156,23,101,141,1352,1,80,0.1849,0.2464,0.3913,0.0067,0.45,1.0,1.0,2.1931,0.9542,1.3617,0.6087,-0.0658,0.3464,1,0,0,0,0,0,1
78,124,2377039,2643,285,64,140,1400,0,40,0.1771,0.4121,0.0569,0.0114,0.09699999999999999,0.986,1.0,3.4221,1.2041,2.4487,0.9431,-0.1132,1.0,1,0,0,0,0,0,1
79,1321,513812,2145,201,16,133,1380,0,40,0.0594,0.4012,0.0904,0.013000000000000001,0.1343,0.9901,1.0,3.3314,1.2553,2.2989,0.9096,-0.166,1.0,1,0,0,0,0,0,1
80,817,66196,1421,185,47,126,1666,0,40,0.9808,0.6708,0.1566,0.0156,0.1831,0.8973,1.0,3.1526,1.415,2.2201,0.8434,-0.2246,1.0,1,0,0,0,0,0,1
81,808,161967,103,17,97,126,1666,0,40,0.97,0.2427,0.4706,0.0048,0.6154,1.0,1.0,2.0128,0.9031,1.2305,0.5294,-0.133,0.2482,1,0,0,0,0,0,1
82,1327,126951,40,7,89,111,1364,0,60,0.0425,0.2857,0.875,0.0059,0.7273,1.0,0.0,1.6021,0.9031,0.8451,-0.125,-0.21600000000000003,0.1622,1,0,0,0,0,0,1
83,64,417618,10914,604,21,141,1362,0,60,0.094,0.4103,0.0519,0.0228,0.0645,0.9884,1.0,4.038,1.4914,2.7760000000000002,0.9481,-0.2153,1.0,1,0,0,0,0,0,1
84,57,33796,135,16,55,97,1360,0,200,0.0838,0.2969,0.75,0.0088,0.6667,1.0,1.0,2.1303,1.0792,1.2041,0.25,-0.3683,0.3241,1,0,0,0,0,0,1
85,921,638468,114,17,94,140,1392,0,220,0.6638,0.2083,0.5625,0.0065,0.6429,0.9412,1.0,2.0569,0.9542,1.2041,0.4375,-0.0972,0.2583,1,0,0,0,0,0,1
86,830,837868,82,20,106,128,1392,0,220,0.7974,0.4143,0.35,0.005,0.5385,1.0,1.0,1.9138,0.8451,1.301,0.65,-0.0786,0.2532,1,0,0,0,0,0,1
87,1201,3496093,275,32,78,127,1362,0,40,0.2188,0.2839,0.375,0.0088,0.6316,1.0,1.0,2.4393,1.0792,1.5051,0.625,-0.1765,0.633,1,0,0,0,0,0,1
88,1227,3980733,289,36,92,132,1364,0,40,0.1848,0.2702,0.3056,0.0081,0.44,1.0,1.0,2.4609,1.0414,1.5563,0.6944,-0.1313,0.6514,1,0,0,0,0,0,1
89,959,4178002,313,39,68,135,1364,0,40,0.5719,0.465,0.3846,0.011000000000000001,0.4167,1.0,1.0,2.4955,1.1761,1.5911,0.6154,-0.1263,0.8682,1,0,0,0,0,0,1
90,320,4383724,437,52,63,132,1364,0,40,0.4692,0.3535,0.25,0.0095,0.3611,1.0,1.0,2.6405,1.1139,1.716,0.75,-0.1976,0.9236,1,0,0,0,0,0,1
91,34,132507,759,69,44,124,1362,0,40,0.0499,0.3529,0.2464,0.0125,0.3778,1.0,1.0,2.8802,1.2305,1.8389,0.7536,-0.3003,0.997,1,0,0,0,0,0,1
92,159,273320,677,67,72,124,1360,0,40,0.2338,0.2227,0.19399999999999998,0.0096,0.2955,1.0,1.0,2.8306,1.1139,1.8261,0.8059999999999999,-0.2199,0.9779,1,0,0,0,0,0,1
93,1265,31580,211,22,49,109,1364,0,100,0.1261,0.2622,0.5909,0.0095,0.7222,1.0,1.0,2.3243,1.1139,1.3424,0.4091,-0.3402,0.4729,1,0,0,0,0,0,1
94,1343,106512,52,7,87,109,1366,0,100,0.0205,0.1746,0.7778,0.0066,1.0,1.0,0.0,1.716,0.9542,0.8451,-0.2222,-0.2414,0.1687,1,0,0,0,0,0,1
95,557,2425687,261,29,91,126,1358,0,40,0.8203,0.3077,0.4483,0.0096,0.4643,1.0,1.0,2.4166,1.1139,1.4624,0.5517,-0.1541,0.6221,1,0,0,0,0,0,1
96,1058,367429,135,26,103,126,1690,0,70,0.7385,0.35100000000000003,0.3077,0.0047,0.4444,1.0,1.0,2.1303,0.9031,1.415,0.6923,-0.1097,0.3479,1,0,0,0,0,0,1
97,780,1044544,181,43,99,125,1690,0,70,0.9231,0.3987,0.1628,0.0041,0.2414,1.0,1.0,2.2577,0.8451,1.6335,0.8372,-0.1253,0.4979,1,0,0,0,0,0,1
98,971,1246698,109,19,100,127,1694,0,70,0.8442,0.2829,0.4211,0.0047,0.5333,1.0,1.0,2.0374,0.9031,1.2787,0.5789,-0.1247,0.2686,1,0,0,0,0,0,1
99,374,2670756,102,16,95,127,1692,0,70,0.4421,0.2031,0.5,0.0047,0.7273,1.0,1.0,2.0086,0.9031,1.2041,0.5,-0.128,0.2384,1,0,0,0,0,0,1
100,1027,2928247,51,12,111,135,1692,0,70,0.7778,0.3929,0.5833,0.0041,0.875,1.0,1.0,1.7076,0.8451,1.0792,0.4167,-0.081,0.1892,1,0,0,0,0,0,1
101,1554,3375744,134,21,89,111,1690,0,70,0.1491,0.3619,0.4762,0.0059,0.7692,1.0,1.0,2.1271,1.0,1.3222,0.5238,-0.2213,0.3509,1,0,0,0,0,0,1
102,179,1280228,266,28,49,126,1626,0,120,0.2202,0.3214,0.5,0.0086,0.6087,1.0,1.0,2.4249,1.1461,1.4472,0.5,-0.27899999999999997,0.6453,1,0,0,0,0,0,1
103,980,333332,970,103,66,133,1362,0,175,0.5433,0.2152,0.1165,0.0088,0.2105,1.0,1.0,2.9868,1.0792,2.0128,0.8835,-0.2146,0.998,1,0,0,0,0,0,1
104,1579,562576,515,57,46,108,1632,0,125,0.049,0.305,0.2281,0.008,0.4063,1.0,1.0,2.7118,1.1139,1.7559,0.7719,-0.3686,0.9491,1,0,0,0,0,0,1
105,225,719009,116,15,71,127,1634,0,125,0.2754,0.2267,0.6667,0.0061,0.5882,1.0,1.0,2.0645,1.0,1.1761,0.3333,-0.215,0.266,1,0,0,0,0,0,1
106,1465,1837263,2490,197,19,141,1634,0,125,0.1812,0.3981,0.1066,0.0128,0.1438,1.0,1.0,3.3962,1.3222,2.2945,0.8934,-0.11199999999999999,1.0,1,0,0,0,0,0,1
107,1360,2094748,251,28,89,140,1632,0,125,0.3174,0.3104,0.4643,0.008,0.5909,1.0,1.0,2.3997,1.1139,1.4472,0.5357,-0.1269,0.6015,1,0,0,0,0,0,1
108,1155,2124816,165,26,87,134,1626,0,125,0.5646,0.4271,0.5,0.0074,0.5454,0.9231,1.0,2.2175,1.0792,1.3802,0.5,-0.1126,0.4763,1,0,0,0,0,0,1
109,1325,1959035,112,17,84,127,1358,0,40,0.0353,0.268,0.5294,0.0066,0.5625,1.0,1.0,2.0492,0.9542,1.2305,0.4706,-0.2021,0.2699,1,0,0,0,0,0,1
110,1260,552783,208,32,84,126,1350,0,50,0.11699999999999999,0.4091,0.3438,0.0082,0.4583,1.0,1.0,2.3181,1.0414,1.5051,0.6563,-0.1557,0.5822,1,0,0,0,0,0,1
111,1245,702370,337,35,68,125,1354,0,50,0.1418,0.2593,0.3714,0.0096,0.5,1.0,1.0,2.5276,1.1139,1.5441,0.6286,-0.2262,0.7347,1,0,0,0,0,0,1
112,1687,150712,167,28,23,94,1698,0,90,0.0024,0.3373,0.3214,0.0053,0.375,1.0,1.0,2.2227,0.9542,1.4472,0.6786,-0.5528,0.41700000000000004,1,0,0,0,0,0,1
113,1507,188768,200,32,90,125,1696,0,90,0.2123,0.3056,0.2813,0.0053,0.375,1.0,1.0,2.301,0.9542,1.5051,0.7188,-0.1527,0.4763,1,0,0,0,0,0,1
114,1688,247330,359,84,30,93,1696,0,90,0.0024,0.2877,0.0714,0.0035,0.2069,1.0,1.0,2.5551,0.7782,1.9243,0.9286,-0.5816,0.7933,1,0,0,0,0,0,1
115,1685,297096,349,70,45,95,1698,0,90,0.0071,0.2878,0.1,0.0041,0.2121,1.0,1.0,2.5428,0.8451,1.8451,0.9,-0.4471,0.7776,1,0,0,0,0,0,1
116,1687,348227,140,30,38,101,1698,0,90,0.0047,0.3333,0.2333,0.0041,0.5833,1.0,1.0,2.1461,0.8451,1.4771,0.7667,-0.4836,0.3509,1,0,0,0,0,0,1
117,1571,435871,379,45,80,124,1700,0,90,0.1376,0.2982,0.2667,0.0071,0.3429,1.0,1.0,2.5786,1.0792,1.6532,0.7333,-0.223,0.8299,1,0,0,0,0,0,1
118,757,487568,121,20,89,134,1698,0,90,0.8916,0.3278,0.45,0.0053,0.6923,1.0,1.0,2.0828,0.9542,1.301,0.55,-0.1384,0.3068,1,0,0,0,0,0,1
119,1568,564536,762,86,88,124,1698,0,90,0.1355,0.4024,0.1765,0.0088,0.2381,0.9884,1.0,2.8819,1.1761,1.9294,0.8235,-0.1956,0.9985,1,0,0,0,0,0,1
120,1571,689792,861,98,91,126,1696,0,90,0.1309,0.3724,0.1429,0.0082,0.1795,1.0,1.0,2.935,1.1461,1.9912,0.8571,-0.182,0.9992,1,0,0,0,0,0,1
121,1575,815462,335,42,86,124,1696,0,90,0.1262,0.4303,0.3333,0.0082,0.3784,1.0,1.0,2.525,1.1461,1.6233,0.6667,-0.2359,0.8705,1,0,0,0,0,0,1
122,1579,939827,242,33,90,119,1698,0,90,0.1272,0.3333,0.3333,0.0065,0.4583,1.0,1.0,2.3838,1.0414,1.5185,0.6667,-0.2035,0.5999,1,0,0,0,0,0,1
123,1395,1108752,264,30,64,126,1696,0,90,0.3408,0.2667,0.4,0.0071,0.4615,1.0,1.0,2.4216,1.0792,1.4771,0.6,-0.2445,0.5951,1,0,0,0,0,0,1
124,5,1137189,134,27,94,125,1694,0,90,0.0059,0.3796,0.2963,0.0047,0.4,1.0,1.0,2.1271,0.9031,1.4314,0.7037,-0.1485,0.3601,1,0,0,0,0,0,1
125,1578,1208774,372,70,77,125,1696,0,90,0.125,0.5507,0.1739,0.0071,0.2143,0.9857,1.0,2.5705,1.0792,1.8389,0.8261,-0.2034,0.9708,1,0,0,0,0,0,1
126,1595,1594430,794,87,62,127,1696,0,90,0.1002,0.4296,0.1839,0.0094,0.2712,1.0,1.0,2.8998,1.2041,1.9395,0.8161,-0.1694,0.9993,1,0,0,0,0,0,1
127,10,1678200,227,32,77,127,1698,0,90,0.0118,0.4089,0.375,0.0071,0.4286,1.0,1.0,2.356,1.0792,1.5051,0.625,-0.1841,0.633,1,0,0,0,0,0,1
128,1593,1724027,927,103,68,127,1698,0,90,0.106,0.3941,0.1471,0.0088,0.2308,0.9903,1.0,2.9671,1.1761,2.0086,0.8529,-0.2456,0.9997,1,0,0,0,0,0,1
129,9,1743219,227,31,74,126,1698,0,90,0.0106,0.1864,0.2903,0.0053,0.4091,1.0,1.0,2.356,0.9542,1.4914,0.7097,-0.2475,0.4613,1,0,0,0,0,0,1
130,1505,1751260,271,45,85,127,1700,0,90,0.2188,0.3157,0.2045,0.0053,0.2571,0.9778,1.0,2.4330000000000003,0.9542,1.6435,0.7954,-0.1851,0.6514,1,0,0,0,0,0,1
131,1470,1771553,771,89,63,127,1698,0,90,0.2474,0.5187,0.2023,0.0106,0.36,1.0,1.0,2.887,1.2553,1.9494,0.7977,-0.2261,0.9998,1,0,0,0,0,0,1
132,1643,1809470,471,54,62,125,1698,0,90,0.0495,0.3291,0.2407,0.0077,0.3514,1.0,1.0,2.673,1.1139,1.7324,0.7593,-0.2722,0.9349,1,0,0,0,0,0,1
133,1555,1823955,285,32,81,126,1698,0,90,0.1508,0.4063,0.4688,0.0088,0.625,1.0,1.0,2.4548,1.1761,1.5051,0.5313,-0.1805,0.7659,1,0,0,0,0,0,1
134,923,1120157,120,23,84,124,1688,1,70,0.8969,0.3478,0.3478,0.0047,0.4706,1.0,1.0,2.0792,0.9031,1.3617,0.6522,-0.2033,0.3125,1,0,0,0,0,0,1
135,1540,1511165,4686,427,30,133,1688,1,70,0.154,0.3889,0.0422,0.0107,0.0717,0.9977,1.0,3.6708,1.2553,2.6294,0.9578,-0.2424,1.0,1,0,0,0,0,0,1
136,1251,458923,70,18,106,127,1356,0,40,0.1475,0.2222,0.2778,0.0037,0.3333,1.0,1.0,1.8451,0.6990000000000001,1.2553,0.7222,-0.1015,0.1954,1,0,0,0,0,0,1
